TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
irisdeltaj.simplelucenetag.br.unb.cic.iris.core.TagManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6546160130718954,85,59
irisdeltaj.simpleluceneaddressbooktag.br.unb.cic.iris.command.console.ConsoleSearchCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8553846153846154,67,63
irisdeltaj.simplerelationalsecuritysignverify.br.unb.cic.iris.command.console.ConsoleSendSecuritySignMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5641971253384297,113,35
irisdeltaj.simplerelationalsecuritysignverify.br.unb.cic.iris.util.MessageUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8181818181818182,65,58
irisdeltaj.simplerelationalsecurityencryptdecrypt.br.unb.cic.iris.command.console.ConsoleSendSecurityEncryptMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5641971253384297,113,35
irisdeltaj.simplerelationalsecuritycomplete.br.unb.cic.iris.command.console.ConsoleSendSecurityEncryptMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5641971253384297,113,35
irisdeltaj.simplerelationalsecuritycomplete.br.unb.cic.iris.command.console.ConsoleSendSecuritySignEncryptMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5623855311355311,114,35
irisdeltaj.simplerelationalsecuritycomplete.br.unb.cic.iris.command.console.ConsoleSendSecuritySignMessageCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5641971253384297,113,35
irisdeltaj.simplerelationalcategory.br.unb.cic.iris.command.console.CategoryConsoleCommand,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5975956879844961,116,62
irisdeltaj.simplerelationalcategory.br.unb.cic.iris.core.CategoryManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6833333333333333,52,31
irisdeltaj.simplerelationalcategory.br.unb.cic.iris.core.model.Category,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,80,80
irisdeltaj.simplerelationalcategory.br.unb.cic.iris.util.CategoryUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8518518518518519,143,141
